DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20140228,100100,166902.0781250,191000.0000000,196500.0000000,189500.0000000,244351
20140228,100200,166902.0781250,191000.0000000,196500.0000000,189500.0000000,244351
20140228,100300,166902.0781250,191000.0000000,196500.0000000,189500.0000000,244351
20140228,100400,166902.0781250,191000.0000000,196500.0000000,189500.0000000,244351
20140228,100500,166902.0781250,191000.0000000,196500.0000000,189500.0000000,244351
20140228,100600,166902.0781250,191000.0000000,196500.0000000,189500.0000000,244351
20140228,100700,166902.0781250,191000.0000000,196500.0000000,189500.0000000,244351
20140303,100100,169523.5156250,194000.0000000,196000.0000000,189000.0000000,210960
20140303,100200,169523.5156250,194000.0000000,196000.0000000,189000.0000000,210960
20140303,100300,169523.5156250,194000.0000000,196000.0000000,189000.0000000,210960
20140303,100400,169523.5156250,194000.0000000,196000.0000000,189000.0000000,210960
20140303,100500,169523.5156250,194000.0000000,196000.0000000,189000.0000000,210960
20140303,100600,169523.5156250,194000.0000000,196000.0000000,189000.0000000,210960
20140303,100700,169523.5156250,194000.0000000,196000.0000000,189000.0000000,210960
20140304,100100,172145.0468750,197000.0000000,197500.0000000,193500.0000000,154035
20140304,100200,172145.0468750,197000.0000000,197500.0000000,193500.0000000,154035
20140304,100300,172145.0468750,197000.0000000,197500.0000000,193500.0000000,154035
20140304,100400,172145.0468750,197000.0000000,197500.0000000,193500.0000000,154035
20140304,100500,172145.0468750,197000.0000000,197500.0000000,193500.0000000,154035
20140304,100600,172145.0468750,197000.0000000,197500.0000000,193500.0000000,154035
20140304,100700,172145.0468750,197000.0000000,197500.0000000,193500.0000000,154035
20140305,100100,175640.3750000,201000.0000000,202000.0000000,196000.0000000,305576
20140305,100200,175640.3750000,201000.0000000,202000.0000000,196000.0000000,305576
20140305,100300,175640.3750000,201000.0000000,202000.0000000,196000.0000000,305576
20140305,100400,175640.3750000,201000.0000000,202000.0000000,196000.0000000,305576
20140305,100500,175640.3750000,201000.0000000,202000.0000000,196000.0000000,305576
20140305,100600,175640.3750000,201000.0000000,202000.0000000,196000.0000000,305576
20140305,100700,175640.3750000,201000.0000000,202000.0000000,196000.0000000,305576
20140306,100100,183067.9687500,209500.0000000,209500.0000000,201000.0000000,385843
20140306,100200,183067.9687500,209500.0000000,209500.0000000,201000.0000000,385843
20140306,100300,183067.9687500,209500.0000000,209500.0000000,201000.0000000,385843
20140306,100400,183067.9687500,209500.0000000,209500.0000000,201000.0000000,385843
20140306,100500,183067.9687500,209500.0000000,209500.0000000,201000.0000000,385843
20140306,100600,183067.9687500,209500.0000000,209500.0000000,201000.0000000,385843
20140306,100700,183067.9687500,209500.0000000,209500.0000000,201000.0000000,385843
20140307,100100,183941.7968750,210500.0000000,211500.0000000,206500.0000000,156610
20140307,100200,183941.7968750,210500.0000000,211500.0000000,206500.0000000,156610
20140307,100300,183941.7968750,210500.0000000,211500.0000000,206500.0000000,156610
20140307,100400,183941.7968750,210500.0000000,211500.0000000,206500.0000000,156610
20140307,100500,183941.7968750,210500.0000000,211500.0000000,206500.0000000,156610
20140307,100600,183941.7968750,210500.0000000,211500.0000000,206500.0000000,156610
20140307,100700,183941.7968750,210500.0000000,211500.0000000,206500.0000000,156610
20140310,100100,178698.7968750,204500.0000000,214500.0000000,204500.0000000,225039
20140310,100200,178698.7968750,204500.0000000,214500.0000000,204500.0000000,225039
20140310,100300,178698.7968750,204500.0000000,214500.0000000,204500.0000000,225039
20140310,100400,178698.7968750,204500.0000000,214500.0000000,204500.0000000,225039
20140310,100500,178698.7968750,204500.0000000,214500.0000000,204500.0000000,225039
20140310,100600,178698.7968750,204500.0000000,214500.0000000,204500.0000000,225039
20140310,100700,178698.7968750,204500.0000000,214500.0000000,204500.0000000,225039
20140311,100100,177388.0468750,203000.0000000,207500.0000000,202500.0000000,123885
20140311,100200,177388.0468750,203000.0000000,207500.0000000,202500.0000000,123885
20140311,100300,177388.0468750,203000.0000000,207500.0000000,202500.0000000,123885
20140311,100400,177388.0468750,203000.0000000,207500.0000000,202500.0000000,123885
20140311,100500,177388.0468750,203000.0000000,207500.0000000,202500.0000000,123885
20140311,100600,177388.0468750,203000.0000000,207500.0000000,202500.0000000,123885
20140311,100700,177388.0468750,203000.0000000,207500.0000000,202500.0000000,123885
20140312,100100,173018.8906250,198000.0000000,204000.0000000,196000.0000000,193519
20140312,100200,173018.8906250,198000.0000000,204000.0000000,196000.0000000,193519
20140312,100300,173018.8906250,198000.0000000,204000.0000000,196000.0000000,193519
20140312,100400,173018.8906250,198000.0000000,204000.0000000,196000.0000000,193519
20140312,100500,173018.8906250,198000.0000000,204000.0000000,196000.0000000,193519
20140312,100600,173018.8906250,198000.0000000,204000.0000000,196000.0000000,193519
20140312,100700,173018.8906250,198000.0000000,204000.0000000,196000.0000000,193519
20140313,100100,187874.0468750,215000.0000000,217000.0000000,200000.0000000,366409
20140313,100200,187874.0468750,215000.0000000,217000.0000000,200000.0000000,366409
20140313,100300,187874.0468750,215000.0000000,217000.0000000,200000.0000000,366409
20140313,100400,187874.0468750,215000.0000000,217000.0000000,200000.0000000,366409
20140313,100500,187874.0468750,215000.0000000,217000.0000000,200000.0000000,366409
20140313,100600,187874.0468750,215000.0000000,217000.0000000,200000.0000000,366409
20140313,100700,187874.0468750,215000.0000000,217000.0000000,200000.0000000,366409
20140314,100100,187874.0468750,215000.0000000,220000.0000000,211500.0000000,254214
20140314,100200,187874.0468750,215000.0000000,220000.0000000,211500.0000000,254214
20140314,100300,187874.0468750,215000.0000000,220000.0000000,211500.0000000,254214
20140314,100400,187874.0468750,215000.0000000,220000.0000000,211500.0000000,254214
20140314,100500,187874.0468750,215000.0000000,220000.0000000,211500.0000000,254214
20140314,100600,187874.0468750,215000.0000000,220000.0000000,211500.0000000,254214
20140314,100700,187874.0468750,215000.0000000,220000.0000000,211500.0000000,254214
20140317,100100,194427.7812500,222500.0000000,229000.0000000,219000.0000000,317988
20140317,100200,194427.7812500,222500.0000000,229000.0000000,219000.0000000,317988
20140317,100300,194427.7812500,222500.0000000,229000.0000000,219000.0000000,317988
20140317,100400,194427.7812500,222500.0000000,229000.0000000,219000.0000000,317988
20140317,100500,194427.7812500,222500.0000000,229000.0000000,219000.0000000,317988
20140317,100600,194427.7812500,222500.0000000,229000.0000000,219000.0000000,317988
20140317,100700,194427.7812500,222500.0000000,229000.0000000,219000.0000000,317988
20140318,100100,193117.0625000,221000.0000000,224000.0000000,215500.0000000,242099
20140318,100200,193117.0625000,221000.0000000,224000.0000000,215500.0000000,242099
20140318,100300,193117.0625000,221000.0000000,224000.0000000,215500.0000000,242099
20140318,100400,193117.0625000,221000.0000000,224000.0000000,215500.0000000,242099
20140318,100500,193117.0625000,221000.0000000,224000.0000000,215500.0000000,242099
20140318,100600,193117.0625000,221000.0000000,224000.0000000,215500.0000000,242099
20140318,100700,193117.0625000,221000.0000000,224000.0000000,215500.0000000,242099
